4.69884,-7.67387,11.9984,0.25,0.25
3.00984,-7.89559,12.3907,0.5,0.5
-2.9109,-7.83923,12.4498,0.75,0.75
-11.175,-5.22493,8.52901,1,1
-13.71,-3.0965,5.23196,1.25,1.25
-14.2415,-2.35283,4.0711,1.5,1.5
14.1321,2.52483,-4.33993,1.75,1.75
13.4215,3.4278,-5.74781,2,2
12.137,4.57606,-7.52861,2.25,2.25
10.4295,5.64826,-9.17873,2.5,2.5
8.83255,6.38526,-10.3024,2.75,2.75
7.45668,6.8781,-11.0461,3,3
6.15243,7.24876,-11.5987,3.25,3.25
4.63032,7.58033,-12.0841,3.5,3.5
2.90527,7.83991,-12.4508,3.75,3.75
1.15441,7.98798,-12.6407,4,4
-0.588605,8.02526,-12.656,4.25,4.25
-2.3944,7.94893,-12.4903,4.5,4.5
-4.73034,7.6686,-11.9892,4.75,4.75
-7.85045,6.92616,-10.739,5,5
-10.7953,5.6922,-8.71706,5.25,5.25
-12.1431,4.84615,-7.34754,5.5,5.5
-12.5588,4.52759,-6.83418,5.75,5.75
-13.4974,3.6498,-5.4248,6,6
-14.7356,1.65623,-2.24626,6.25,6.25
